sale_id,sale_date,product_id,product_name,category,subcategory,region,store_id,units_sold,revenue,cost
TRX000035,2024-01-01,P0020,シューズ スタンダード,衣料品,シューズ,東海,S008,1,20363.4,11100.0
TRX000481,2024-01-01,P0028,インスタント食品 スタンダード,食品,インスタント食品,関西,S007,10,17960.32,9000.0
TRX001957,2024-01-01,P0004,タブレット スタンダード,家電,タブレット,東海,S008,3,35495.38,15600.0
TRX002826,2024-01-01,P0013,レディーストップス プレミアム,衣料品,レディーストップス,中国・四国,S015,4,57935.27,25200.0
TRX003075,2024-01-01,P0025,健康食品 プレミアム,食品,健康食品,関東,S002,4,6252.76,2800.0
TRX003293,2024-01-01,P0022,スナック菓子 スタンダード,食品,スナック菓子,関西,S005,7,13768.22,7700.0
TRX003447,2024-01-01,P0006,ノートPC スタンダード,家電,ノートPC,北海道,S014,7,708855.94,316400.0
TRX004097,2024-01-01,P0033,アウトドア プレミアム,スポーツ,アウトドア,中国・四国,S016,4,49801.6,26400.0
TRX000485,2024-01-02,P0014,レディーストップス スタンダード,衣料品,レディーストップス,九州,S010,6,150299.61,84000.0
TRX000525,2024-01-02,P0049,フレグランス プレミアム,美容・健康,フレグランス,北海道,S014,7,35250.31,19600.0
TRX000567,2024-01-02,P0045,サプリメント プレミアム,美容・健康,サプリメント,東北,S013,8,66200.23,31200.0
TRX000572,2024-01-02,P0004,タブレット スタンダード,家電,タブレット,九州,S011,5,58068.54,26000.0
TRX001749,2024-01-02,P0042,スキンケア スタンダード,美容・健康,スキンケア,東海,S009,1,7744.48,3900.0
TRX002662,2024-01-02,P0042,スキンケア スタンダード,美容・健康,スキンケア,関東,S004,4,29515.25,15600.0
TRX003387,2024-01-02,P0029,調味料 プレミアム,食品,調味料,東北,S013,8,10798.94,5600.0
TRX003696,2024-01-02,P0045,サプリメント プレミアム,美容・健康,サプリメント,東北,S012,3,23444.91,11700.0
TRX003960,2024-01-02,P0010,スマートウォッチ スタンダード,家電,スマートウォッチ,九州,S010,4,422478.32,209200.0
TRX004224,2024-01-02,P0013,レディーストップス プレミアム,衣料品,レディーストップス,九州,S010,2,25680.64,12600.0
TRX004443,2024-01-02,P0011,メンズトップス プレミアム,衣料品,メンズトップス,北海道,S014,4,14298.36,6800.0
TRX004525,2024-01-02,P0009,スマートウォッチ プレミアム,家電,スマートウォッチ,東海,S009,7,487757.75,256900.0
TRX004660,2024-01-02,P0018,アウター スタンダード,衣料品,アウター,関東,S001,4,16950.25,8000.0
TRX001185,2024-01-03,P0010,スマートウォッチ スタンダード,家電,スマートウォッチ,東海,S009,10,1133018.33,523000.0
TRX001703,2024-01-03,P0048,メイクアップ スタンダード,美容・健康,メイクアップ,北海道,S014,5,9359.7,4000.0
TRX002163,2024-01-03,P0015,ボトムス プレミアム,衣料品,ボトムス,関西,S005,8,73720.0,37600.0
TRX003228,2024-01-03,P0008,イヤホン スタンダード,家電,イヤホン,関東,S001,9,1088378.89,440100.0
TRX003943,2024-01-03,P0002,スマートフォン スタンダード,家電,スマートフォン,東北,S012,1,103890.38,57200.0
TRX004232,2024-01-03,P0028,インスタント食品 スタンダード,食品,インスタント食品,東北,S012,3,5744.94,2700.0
TRX004301,2024-01-03,P0004,タブレット スタンダード,家電,タブレット,東海,S008,1,11732.0,5200.0
TRX004392,2024-01-03,P0028,インスタント食品 スタンダード,食品,インスタント食品,中国・四国,S015,5,8569.66,4500.0
TRX004457,2024-01-03,P0025,健康食品 プレミアム,食品,健康食品,九州,S010,6,10031.91,4200.0
TRX004556,2024-01-03,P0010,スマートウォッチ スタンダード,家電,スマートウォッチ,中国・四国,S016,2,238837.1,104600.0
TRX005130,2024-01-03,P0013,レディーストップス プレミアム,衣料品,レディーストップス,東海,S009,6,79153.53,37800.0
TRX000358,2024-01-04,P0049,フレグランス プレミアム,美容・健康,フレグランス,関東,S003,5,26659.89,14000.0
TRX001086,2024-01-04,P0033,アウトドア プレミアム,スポーツ,アウトドア,北海道,S014,7,83665.17,46200.0
TRX002188,2024-01-04,P0020,シューズ スタンダード,衣料品,シューズ,東海,S009,9,168481.86,99900.0
TRX002269,2024-01-04,P0035,ランニング プレミアム,スポーツ,ランニング,中国・四国,S016,5,130325.36,81000.0
TRX002864,2024-01-04,P0016,ボトムス スタンダード,衣料品,ボトムス,関東,S003,5,127984.52,59000.0
TRX002875,2024-01-04,P0037,チームスポーツ プレミアム,スポーツ,チームスポーツ,東海,S008,12,190286.28,80400.0
TRX003382,2024-01-04,P0024,飲料 スタンダード,食品,飲料,中国・四国,S016,6,4374.38,3000.0
TRX004015,2024-01-04,P0031,フィットネス用品 プレミアム,スポーツ,フィットネス用品,関西,S006,3,108437.94,48900.0
TRX004838,2024-01-04,P0020,シューズ スタンダード,衣料品,シューズ,中国・四国,S015,6,113345.28,66600.0
TRX005166,2024-01-04,P0001,スマートフォン プレミアム,家電,スマートフォン,東海,S008,1,84536.13,41800.0
TRX001321,2024-01-05,P0034,アウトドア スタンダード,スポーツ,アウトドア,中国・四国,S015,3,112082.28,64500.0
TRX001556,2024-01-05,P0004,タブレット スタンダード,家電,タブレット,中国・四国,S016,6,70039.63,31200.0
TRX004030,2024-01-05,P0031,フィットネス用品 プレミアム,スポーツ,フィットネス用品,関東,S002,1,35977.21,16300.0
TRX004405,2024-01-05,P0045,サプリメント プレミアム,美容・健康,サプリメント,関東,S002,3,25322.26,11700.0
TRX000735,2024-01-06,P0037,チームスポーツ プレミアム,スポーツ,チームスポーツ,東北,S013,1,15036.69,6700.0
TRX001133,2024-01-06,P0027,インスタント食品 プレミアム,食品,インスタント食品,関東,S001,9,10536.83,7200.0
TRX002155,2024-01-06,P0020,シューズ スタンダード,衣料品,シューズ,北海道,S014,5,98816.48,55500.0
TRX002326,2024-01-06,P0049,フレグランス プレミアム,美容・健康,フレグランス,九州,S010,8,45993.29,22400.0
TRX003029,2024-01-06,P0034,アウトドア スタンダード,スポーツ,アウトドア,九州,S010,3,113648.53,64500.0
TRX003153,2024-01-06,P0021,スナック菓子 プレミアム,食品,スナック菓子,東海,S009,6,5372.73,3000.0
TRX003398,2024-01-06,P0049,フレグランス プレミアム,美容・健康,フレグランス,東北,S013,6,34325.9,16800.0
TRX004292,2024-01-06,P0045,サプリメント プレミアム,美容・健康,サプリメント,中国・四国,S016,2,16162.12,7800.0
TRX004703,2024-01-06,P0026,健康食品 スタンダード,食品,健康食品,関西,S005,7,2927.89,1400.0
TRX001378,2024-01-07,P0016,ボトムス スタンダード,衣料品,ボトムス,中国・四国,S016,6,139826.11,70800.0
TRX001491,2024-01-07,P0024,飲料 スタンダード,食品,飲料,関東,S001,2,1289.9,1000.0
TRX002464,2024-01-07,P0040,水泳 スタンダード,スポーツ,水泳,関東,S003,1,38437.76,20200.0
TRX003331,2024-01-07,P0049,フレグランス プレミアム,美容・健康,フレグランス,東北,S012,8,46081.06,22400.0
TRX003485,2024-01-07,P0012,メンズトップス スタンダード,衣料品,メンズトップス,関西,S006,4,38286.92,18000.0
TRX003913,2024-01-07,P0030,調味料 スタンダード,食品,調味料,東海,S009,4,1674.81,1200.0
TRX004211,2024-01-07,P0035,ランニング プレミアム,スポーツ,ランニング,九州,S011,3,77071.55,48600.0
TRX004281,2024-01-07,P0020,シューズ スタンダード,衣料品,シューズ,関西,S006,3,56579.71,33300.0
TRX004366,2024-01-07,P0042,スキンケア スタンダード,美容・健康,スキンケア,関東,S002,3,20803.31,11700.0
TRX004946,2024-01-07,P0009,スマートウォッチ プレミアム,家電,スマートウォッチ,中国・四国,S016,5,344873.82,183500.0
TRX001046,2024-01-08,P0037,チームスポーツ プレミアム,スポーツ,チームスポーツ,九州,S010,6,96050.58,40200.0
TRX001537,2024-01-08,P0010,スマートウォッチ スタンダード,家電,スマートウォッチ,九州,S010,6,656105.62,313800.0
TRX001613,2024-01-08,P0025,健康食品 プレミアム,食品,健康食品,東北,S013,8,12167.1,5600.0
TRX003890,2024-01-08,P0018,アウター スタンダード,衣料品,アウター,中国・四国,S016,1,3821.76,2000.0
TRX004021,2024-01-08,P0012,メンズトップス スタンダード,衣料品,メンズトップス,中国・四国,S016,1,9671.5,4500.0
TRX000140,2024-01-09,P0037,チームスポーツ プレミアム,スポーツ,チームスポーツ,中国・四国,S015,5,82409.11,33500.0
TRX000299,2024-01-09,P0007,イヤホン プレミアム,家電,イヤホン,九州,S010,8,877407.5,366400.0
TRX000931,2024-01-09,P0005,ノートPC プレミアム,家電,ノートPC,九州,S011,1,81283.6,51300.0
TRX001355,2024-01-09,P0007,イヤホン プレミアム,家電,イヤホン,北海道,S014,10,1092417.25,458000.0
TRX001450,2024-01-09,P0008,イヤホン スタンダード,家電,イヤホン,九州,S011,8,991328.54,391200.0
TRX001483,2024-01-09,P0034,アウトドア スタンダード,スポーツ,アウトドア,東北,S012,8,301841.32,172000.0
TRX002204,2024-01-09,P0011,メンズトップス プレミアム,衣料品,メンズトップス,九州,S011,1,3325.72,1700.0
TRX004650,2024-01-09,P0031,フィットネス用品 プレミアム,スポーツ,フィットネス用品,関東,S001,7,247182.83,114100.0
TRX000333,2024-01-10,P0020,シューズ スタンダード,衣料品,シューズ,東北,S012,7,138252.16,77700.0
TRX000486,2024-01-10,P0001,スマートフォン プレミアム,家電,スマートフォン,北海道,S014,6,563229.55,250800.0
TRX001446,2024-01-10,P0044,ヘアケア スタンダード,美容・健康,ヘアケア,関西,S006,4,15340.55,8400.0
TRX001524,2024-01-10,P0032,フィットネス用品 スタンダード,スポーツ,フィットネス用品,中国・四国,S016,4,138461.72,62800.0
TRX001707,2024-01-10,P0007,イヤホン プレミアム,家電,イヤホン,九州,S011,6,671156.03,274800.0
TRX003816,2024-01-10,P0019,シューズ プレミアム,衣料品,シューズ,中国・四国,S016,1,17067.71,8600.0
TRX003928,2024-01-10,P0033,アウトドア プレミアム,スポーツ,アウトドア,東北,S013,7,81518.98,46200.0
TRX003937,2024-01-10,P0011,メンズトップス プレミアム,衣料品,メンズトップス,関東,S002,6,21061.91,10200.0
