case_id,created_date,category,priority,transcript,resolution_status
CASE00008,2024-01-03,食品,中,【2024-01-03 受付】定期購入の解約方法を教えてください。マイページから操作しても解約できないエラーが発生します。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,未対応
CASE00121,2024-01-03,スポーツ,低,【2024-01-03 受付】ランニングシューズのソールが剥がれてきました。購入から6ヶ月ですが、週に3回程度使用しています。保証対応はありますか？ / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00268,2024-01-05,家電,高,【2024-01-05 受付】スマートフォンの画面が突然暗くなってしまいます。充電は十分あるのですが、何度か電源を入れ直しても改善しません。購入から3ヶ月ほど経ちます。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00246,2024-01-07,食品,中,【2024-01-07 受付】賞味期限が記載された日より前に開封したところ、異臭がしました。品質管理の問題があるのではないでしょうか。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。 / 【解決】お客様のご要望に応じた対応を完了しました。ご不便をおかけしました。,解決済み
CASE00153,2024-01-11,家電,高,【2024-01-11 受付】ノートPCのバッテリーが急速に消耗します。フル充電から2時間程度しか持ちません。購入時は8時間以上持つとのことでした。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,未対応
CASE00290,2024-01-11,食品,高,【2024-01-11 受付】アレルギー表示について確認したいです。購入した商品の成分表に小麦が含まれているか明記されていませんでした。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。 / 【解決】お客様のご要望に応じた対応を完了しました。ご不便をおかけしました。,解決済み
CASE00114,2024-01-12,衣料品,低,【2024-01-12 受付】サイズ交換をお願いしたいです。Mサイズを購入しましたが、着用してみると少し小さく感じます。Lサイズと交換可能でしょうか。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。 / 【解決】お客様のご要望に応じた対応を完了しました。ご不便をおかけしました。,解決済み
CASE00138,2024-01-16,衣料品,高,【2024-01-16 受付】サイズ交換をお願いしたいです。Mサイズを購入しましたが、着用してみると少し小さく感じます。Lサイズと交換可能でしょうか。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00002,2024-01-20,食品,中,【2024-01-20 受付】賞味期限が記載された日より前に開封したところ、異臭がしました。品質管理の問題があるのではないでしょうか。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00048,2024-01-20,家電,中,【2024-01-20 受付】イヤホンを接続してもBluetoothがすぐに切れてしまいます。他のデバイスでは問題ないため、製品の不具合ではないかと疑っています。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00151,2024-01-26,スポーツ,低,【2024-01-26 受付】フィットネス器具の組み立て説明書が不明確で、正しく組み立てられているか不安です。動画での説明はありますか？ / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,未対応
CASE00171,2024-02-03,食品,低,【2024-02-03 受付】賞味期限が記載された日より前に開封したところ、異臭がしました。品質管理の問題があるのではないでしょうか。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00225,2024-02-03,食品,低,【2024-02-03 受付】アレルギー表示について確認したいです。購入した商品の成分表に小麦が含まれているか明記されていませんでした。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,未対応
CASE00051,2024-02-06,食品,低,【2024-02-06 受付】アレルギー表示について確認したいです。購入した商品の成分表に小麦が含まれているか明記されていませんでした。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00050,2024-02-10,衣料品,中,【2024-02-10 受付】カラーが写真と違います。モニターの問題かもしれませんが、実物はかなり暗い色調でイメージと異なりました。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。 / 【解決】お客様のご要望に応じた対応を完了しました。ご不便をおかけしました。,解決済み
CASE00252,2024-02-13,衣料品,低,【2024-02-13 受付】サイズ交換をお願いしたいです。Mサイズを購入しましたが、着用してみると少し小さく感じます。Lサイズと交換可能でしょうか。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,未対応
CASE00297,2024-02-15,家電,低,【2024-02-15 受付】スマートウォッチのGPS機能が正確に動作しません。ランニング中に計測した距離が実際より短く表示されます。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。 / 【解決】お客様のご要望に応じた対応を完了しました。ご不便をおかけしました。,解決済み
CASE00063,2024-02-16,スポーツ,中,【2024-02-16 受付】ランニングシューズのソールが剥がれてきました。購入から6ヶ月ですが、週に3回程度使用しています。保証対応はありますか？ / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。 / 【解決】お客様のご要望に応じた対応を完了しました。ご不便をおかけしました。,解決済み
CASE00163,2024-02-18,スポーツ,高,【2024-02-18 受付】アウトドアグッズの防水性能について確認したいです。小雨程度は問題ないとのことでしたが、先日の使用で濡れてしまいました。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。 / 【解決】お客様のご要望に応じた対応を完了しました。ご不便をおかけしました。,解決済み
CASE00239,2024-02-19,家電,中,【2024-02-19 受付】スマートフォンの画面が突然暗くなってしまいます。充電は十分あるのですが、何度か電源を入れ直しても改善しません。購入から3ヶ月ほど経ちます。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,対応中
CASE00013,2024-02-22,美容・健康,高,【2024-02-22 受付】サプリメントの服用方法について教えてください。食前と食後のどちらが効果的でしょうか？ / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。 / 【解決】お客様のご要望に応じた対応を完了しました。ご不便をおかけしました。,解決済み
CASE00228,2024-02-23,衣料品,高,【2024-02-23 受付】カラーが写真と違います。モニターの問題かもしれませんが、実物はかなり暗い色調でイメージと異なりました。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。 / 【解決】お客様のご要望に応じた対応を完了しました。ご不便をおかけしました。,解決済み
CASE00141,2024-02-24,家電,高,【2024-02-24 受付】イヤホンを接続してもBluetoothがすぐに切れてしまいます。他のデバイスでは問題ないため、製品の不具合ではないかと疑っています。 / 【対応記録】担当者がお客様に連絡を取り、状況を詳しく確認しました。,未対応
